,Station Id,Station Name,lat,lon,geometry
249,7268,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,POINT (-79.378497 43.656927)
250,7269,Toronto Eaton Centre (Yonge St),43.655431,-79.380653,POINT (-79.380653 43.655431)
251,7270,Church St / Dundas St E - SMART,43.657024,-79.377257,POINT (-79.377257 43.657024)
252,7271,Yonge St / Alexander St - SMART,43.662862,-79.383572,POINT (-79.383572 43.662862)
253,7272,Yonge St / Dundonald St - SMART,43.665801,-79.384796,POINT (-79.38479599999999 43.665801)
254,7273,Bay St / Charles St - SMART,43.668153,-79.38891,POINT (-79.38891 43.668153)
255,7274,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,POINT (-79.38968199999999 43.661803)
256,7275,Queen St W / James St,43.652276,-79.380701,POINT (-79.380701 43.652276)
257,7276,Bloor St W / Balmuto St,43.669903,-79.387802,POINT (-79.38780199999999 43.669903)
258,7277,Chorley Park - SMART,43.6856,-79.3718,POINT (-79.37179999999999 43.6856)
259,7278,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,POINT (-79.33443 43.66587)
260,7279,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,POINT (-79.38906 43.687999)
261,7280,Charles St E / Jarvis St - SMART,43.669604,-79.381171,POINT (-79.38117099999999 43.669604)
262,7281,Charles St W / Balmuto St - SMART,43.668427,-79.38725,POINT (-79.38724999999999 43.668427)
263,7282,Adelaide St W / Bay St - SMART,43.650152,-79.379856,POINT (-79.379856 43.650152)
264,7283,Front St W / Bay St (South Side),43.64595,-79.378761,POINT (-79.378761 43.64595)
265,7284,University Ave / King St W - SMART,43.6477785,-79.3847928,POINT (-79.3847928 43.6477785)
266,7285,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,POINT (-79.4018451 43.6629228)
267,7286,Gerrard St E / Broadview - SMART,43.665656,-79.352055,POINT (-79.35205499999999 43.665656)
268,7287,Queen St E / Pape Ave - SMART,43.661673,-79.337789,POINT (-79.337789 43.661673)
269,7288,Humber Bay Shores Park West,43.6224434,-79.480284,POINT (-79.480284 43.6224434)
270,7289,Humber Bay Shores Park East,43.6308933,-79.4722622,POINT (-79.4722622 43.6308933)
271,7291,190 Queens Quay E,43.6451308,-79.36536439999999,POINT (-79.36536439999999 43.6451308)
272,7292,Granby St / Church St - SMART,43.6605302,-79.3787235,POINT (-79.37872350000001 43.6605302)
273,7293,College St / McCaul St,43.65906,-79.393771,POINT (-79.393771 43.65906)
274,7296,Westmoreland Ave / Fernbank Ave - SMART,43.665327,-79.43235,POINT (-79.43235 43.665327)
275,7297,Havelock St / Dufferin Park - SMART,43.657343,-79.43112,POINT (-79.43112000000001 43.657343)
276,7298,Bathurst St / Adelaide St W,43.645324,-79.40345,POINT (-79.40345000000001 43.645324)
277,7299,Mill St / Parliament St,43.650256,-79.36163,POINT (-79.36163000000001 43.650256)
278,7301,Primrose Ave / Davenport Rd - SMART,43.67142,-79.445947,POINT (-79.445947 43.67142)
279,7302,Winona Dr / Davenport Rd - SMART,43.674923,-79.430465,POINT (-79.430465 43.674923)
280,7303,Queen St E / Woodward Ave,43.665269,-79.319796,POINT (-79.319796 43.665269)
281,7309,Queen St. E / Rhodes Ave.,43.666224,-79.317693,POINT (-79.31769300000001 43.666224)
282,7311,Sherbourne St / Isabella St,43.669576,-79.375961,POINT (-79.375961 43.669576)
